codigo,titulo,tipo,finalidade,cidade,bairro,preco,quartos,suites,banheiros,vagas,area,imagem,url_detalhada,origem_listagem,uf
10014,Leblon - RJ,Sala,vendas,RJ,Leblon,"R$ 1.600.000,00",3,1,1,0,,https://cdn.vistahost.com.br/grankasa/vista.imobi/fotos/10014/ij787h_10014615f0534bb29a.jpg,https://www.grankasa.com.br/imovel/10014,vendas,RJ
10067,Barra Olímpica - RJ,Sala,vendas,RJ,Barra Olímpica,"R$ 400.000,00",2,1,2,1,,https://cdn.vistahost.com.br/grankasa/vista.imobi/fotos/10067/i678b8fn7_1006761ae1b7cb3fbc.jpg,https://www.grankasa.com.br/imovel/10067,vendas,RJ
10162,São Conrado - RJ,Casa,vendas,RJ,São Conrado,"R$ 3.900.000,00",5,1,4,3,,https://cdn.vistahost.com.br/grankasa/vista.imobi/fotos/10162/imC897B0Q0U6t7H3me_101626227b911a1f77.jpg,https://www.grankasa.com.br/imovel/10162,vendas,RJ
10190,Vargem Grande - RJ,Casa,locacao,RJ,Vargem Grande,"R$ 9.500,00",6,3,2,4,,https://cdn.vistahost.com.br/grankasa/vista.imobi/fotos/10190/i0H9C_10190624b4e0313847.jpg,https://www.grankasa.com.br/imovel/10190,locacao,RJ
10232,Rio Comprido - RJ,Casa,locacao,RJ,Rio Comprido,"R$ 8.000,00",17,0,6,8,,https://cdn.vistahost.com.br/grankasa/vista.imobi/fotos/10232/i78F9681979up_1023268ffa526f1348.jpg,https://www.grankasa.com.br/imovel/10232,locacao,RJ
10258,Pontal - RJ,Casa,vendas,RJ,Pontal,"R$ 3.200.000,00",6,5,4,3,,https://cdn.vistahost.com.br/grankasa/vista.imobi/fotos/10258/iT50tizxC8c_10258630913aa6fc80.jpg,https://www.grankasa.com.br/imovel/10258,vendas,RJ
10262,Copacabana - RJ,Sala,locacao,RJ,Copacabana,"R$ 800,00",0,0,1,0,,https://cdn.vistahost.com.br/grankasa/vista.imobi/fotos/10262/ihP487bu186M97K_10262684339e9089b7.jpg,https://www.grankasa.com.br/imovel/10262,locacao,RJ
10264,Lins de Vasconcelos - RJ,Casa,locacao,RJ,Lins de Vasconcelos,"R$ 950,00",2,0,1,1,,https://cdn.vistahost.com.br/grankasa/vista.imobi/fotos/10264/i57h03bXsS6110IV85_102646324bdc725e70.jpg,https://www.grankasa.com.br/imovel/10264,locacao,RJ
10268,Centro - RJ,Sala,vendas,RJ,Centro,"R$ 120.000,00",0,0,1,0,,https://cdn.vistahost.com.br/grankasa/vista.imobi/fotos/10268/ijWSc7u81A7O7114D2n_1026868814207956e2.jpg,https://www.grankasa.com.br/imovel/10268,vendas,RJ
10289,Centro - RJ,Conjugado,vendas,RJ,Centro,"R$ 110.000,00",0,0,2,1,,https://cdn.vistahost.com.br/grankasa/vista.imobi/fotos/10289/i82R2cJD_102896388e3b3075a0.jpg,https://www.grankasa.com.br/imovel/10289,vendas,RJ
