codigo,match_status,match_score,migration_status,render_status,e2e_status,screenshot_path,observacoes
10014,exato,100,ok,ok,ok,docs/evidencias/screenshots/10014.png,
10067,exato,100,ok,ok,ok,docs/evidencias/screenshots/10067.png,
10162,exato,100,ok,ok,ok,docs/evidencias/screenshots/10162.png,
10190,exato,100,ok,ok,ok,docs/evidencias/screenshots/10190.png,
10232,exato,100,ok,ok,ok,docs/evidencias/screenshots/10232.png,
10258,exato,100,ok,ok,ok,docs/evidencias/screenshots/10258.png,
10262,exato,100,ok,ok,ok,docs/evidencias/screenshots/10262.png,
10264,exato,100,ok,ok,ok,docs/evidencias/screenshots/10264.png,
10268,exato,100,ok,ok,ok,docs/evidencias/screenshots/10268.png,
10289,exato,100,ok,ok,ok,docs/evidencias/screenshots/10289.png,
10315,exato,100,ok,ok,ok,docs/evidencias/screenshots/10315.png,
10325,exato,100,ok,ok,ok,docs/evidencias/screenshots/10325.png,
10353,exato,100,ok,ok,ok,docs/evidencias/screenshots/10353.png,
10370,exato,100,ok,ok,ok,docs/evidencias/screenshots/10370.png,
10371,exato,100,ok,ok,ok,docs/evidencias/screenshots/10371.png,
10377,exato,100,ok,ok,ok,docs/evidencias/screenshots/10377.png,
10384,exato,100,ok,ok,ok,docs/evidencias/screenshots/10384.png,
10388,exato,100,ok,ok,ok,docs/evidencias/screenshots/10388.png,
10389,exato,100,ok,ok,ok,docs/evidencias/screenshots/10389.png,
10401,exato,100,ok,ok,ok,docs/evidencias/screenshots/10401.png,
10415,exato,100,ok,ok,ok,docs/evidencias/screenshots/10415.png,
10465,exato,100,ok,ok,ok,docs/evidencias/screenshots/10465.png,
10472,exato,100,ok,ok,ok,docs/evidencias/screenshots/10472.png,
10487,exato,100,ok,ok,ok,docs/evidencias/screenshots/10487.png,
10492,exato,100,ok,ok,ok,docs/evidencias/screenshots/10492.png,
10497,exato,100,ok,ok,ok,docs/evidencias/screenshots/10497.png,
10525,exato,100,ok,ok,ok,docs/evidencias/screenshots/10525.png,
10527,exato,100,ok,ok,ok,docs/evidencias/screenshots/10527.png,
10568,exato,100,ok,ok,ok,docs/evidencias/screenshots/10568.png,
10572,exato,100,ok,ok,ok,docs/evidencias/screenshots/10572.png,
10573,exato,100,ok,ok,ok,docs/evidencias/screenshots/10573.png,
10588,exato,100,ok,ok,ok,docs/evidencias/screenshots/10588.png,
10597,exato,100,ok,ok,ok,docs/evidencias/screenshots/10597.png,
10611,exato,100,ok,ok,ok,docs/evidencias/screenshots/10611.png,
10617,exato,100,ok,ok,ok,docs/evidencias/screenshots/10617.png,
10627,exato,100,ok,ok,ok,docs/evidencias/screenshots/10627.png,
10629,exato,100,ok,ok,ok,docs/evidencias/screenshots/10629.png,
10638,exato,100,ok,ok,ok,docs/evidencias/screenshots/10638.png,
10650,exato,100,ok,ok,ok,docs/evidencias/screenshots/10650.png,
10651,exato,100,ok,ok,ok,docs/evidencias/screenshots/10651.png,
10670,exato,100,ok,ok,ok,docs/evidencias/screenshots/10670.png,
10672,exato,100,ok,ok,ok,docs/evidencias/screenshots/10672.png,
10674,exato,100,ok,ok,ok,docs/evidencias/screenshots/10674.png,
10675,exato,100,ok,ok,ok,docs/evidencias/screenshots/10675.png,
10690,exato,100,ok,ok,ok,docs/evidencias/screenshots/10690.png,
10692,exato,100,ok,ok,ok,docs/evidencias/screenshots/10692.png,
10698,exato,100,ok,ok,ok,docs/evidencias/screenshots/10698.png,
10699,exato,100,ok,ok,ok,docs/evidencias/screenshots/10699.png,
10705,exato,100,ok,ok,ok,docs/evidencias/screenshots/10705.png,
10706,exato,100,ok,ok,ok,docs/evidencias/screenshots/10706.png,
10707,exato,100,ok,ok,ok,docs/evidencias/screenshots/10707.png,
10708,exato,100,ok,ok,ok,docs/evidencias/screenshots/10708.png,
10709,exato,100,ok,ok,ok,docs/evidencias/screenshots/10709.png,
10712,exato,100,ok,ok,ok,docs/evidencias/screenshots/10712.png,
10713,exato,100,ok,ok,ok,docs/evidencias/screenshots/10713.png,
10716,exato,100,ok,ok,ok,docs/evidencias/screenshots/10716.png,
10722,exato,100,ok,ok,ok,docs/evidencias/screenshots/10722.png,
10724,exato,100,ok,ok,ok,docs/evidencias/screenshots/10724.png,
10725,exato,100,ok,ok,ok,docs/evidencias/screenshots/10725.png,
